GeoFIPS,GeoName,2013,2014,2015,2016,2017
AL,Alabama,36107,37266,38644,39224,40467
AK,Alaska *,52723,55833,57583,56016,56794
AZ,Arizona,36602,38226,39676,40671,42505
AR,Arkansas,36235,38260,39343,40148,41520
CA,California,49277,52324,55758,57739,60156
CO,Colorado,47298,50700,52133,52262,55335
CT,Connecticut,63554,66485,68288,69741,72213
DE,Delaware,44335,45988,47961,48505,50350
Washington D.C.,District of Columbia,67939,71334,75439,77475,78969
FL,Florida,40659,43109,45287,45684,47869
GA,Georgia,37549,39795,41681,42693,44536
HI,Hawaii *,44955,47246,49480,51032,53145
ID,Idaho,36200,37896,39857,40670,42094
IL,Illinois,47113,49444,51519,52273,53943
IN,Indiana,39648,41099,42627,43741,45225
IA,Iowa,43472,44799,46224,46431,47458
KS,Kansas,45958,46874,47386,47510,48869
KY,Kentucky,35919,37584,39093,39638,40999
LA,Louisiana,40911,42684,43034,42726,43938
ME,Maine,40165,41818,43619,44839,46570
MD,Maryland,53052,54687,57139,59029,60512
MA,Massachusetts,57372,59954,63583,65473,68233
MI,Michigan,39361,41147,43533,44868,46258
MN,Minnesota,47941,50254,52315,53209,54919
MS,Mississippi,33852,34545,35022,35613,36375
MO,Missouri,40324,41775,43096,44336,45744
MT,Montana,40176,41900,43504,43721,45312
NE,Nebraska,46592,48948,50588,49703,50663
NV,Nevada,39271,41484,44065,44967,46914
NH,New Hampshire,50754,52673,54788,56480,58397
NJ,New Jersey,56045,58655,61110,62701,64924
NM,New Mexico,35079,37182,38261,38825,39521
NY,New York,54491,56743,59141,61226,65644
NC,North Carolina,38200,40064,41851,42651,44180
ND,North Dakota,53824,56316,53845,52525,52669
OH,Ohio,41098,42754,44340,45040,46651
OK,Oklahoma,43097,45540,44245,41871,43634
OR,Oregon,40015,42483,45182,46498,48372
PA,Pennsylvania,46411,48431,50378,51614,53144
RI,Rhode Island,46225,48165,50053,50541,52379
SC,South Carolina,35731,37622,39496,40404,42081
SD,South Dakota,45245,46959,48655,48627,49554
TN,Tennessee,39427,40801,42593,43726,44950
TX,Texas,43781,46289,46577,45616,47929
UT,Utah,36725,38517,40867,42375,44002
VT,Vermont,45941,47802,49582,50796,51976
VA,Virginia,48855,50754,52892,53605,55306
WA,Washington,48304,51518,53840,55884,58550
WV,West Virginia,34946,36153,36915,36931,38644
WI,Wisconsin,43184,44939,46681,47550,49290
WY,Wyoming,52892,56708,57101,54610,56377
